rank	address	api_names	qualified_name	module	match_status	owner_relevance	prototype_complete	calling_convention	return_type	parameter_types	score	verification_stage	engine_implementation_verified	hook_approved	bridge_kind	arity_compatible	evidence
326	0x00891BE0	Quest.UpdateQuestInfoCounterList	CGameScriptInterface::UpdateQuestInfoCounterList	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long,long,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
327	0x00891BF0	Quest.UpdateQuestInfoTick	CGameScriptInterface::UpdateQuestInfoTick	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
328	0x00891BB0	Quest.UpdateQuestInfoTimer	CGameScriptInterface::UpdateQuestInfoTimer	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
329	0x006E7820	Quest.WaitForCameraMessage	CGameScriptInterface::WaitForCameraMessage	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
330	0x008D0110	Entity.IsNull	CGameScriptThing::IsNull	CGameScriptThing	ambiguous	strong	1	__thiscall	bool	CGameScriptThing *	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;entity-owner
331	0x00893060	Quest.AddBoast	CGameScriptInterface::AddBoast	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,long,long,long,bool,CCharString const &,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
332	0x00891820	Quest.AddQuestRegion	CGameScriptInterface::AddQuestRegion	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
333	0x00892850	Quest.AddScreenMessage	CGameScriptInterface::AddScreenMessage	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,ETextGroupSelectionMethod	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
334	0x00891070	Quest.CameraUseCameraPoint	CGameScriptInterface::CameraUseCameraPoint	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,CScriptThing const &,float,long,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
335	0x00892F00	Quest.DeactivateQuest	CGameScriptInterface::DeactivateQuest	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,ulong	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
