rank	track	module	score	catalog_functions	prototype_complete	prototype_gaps	calling_convention_unknown	naming_review	agent_candidates	verified_lifts
234	candidate-cluster	CTCWound	407996	8	4	4	4	0	4	0
235	candidate-cluster	NCameraModes::CMoveOnCylinder	407996	4	0	4	4	0	4	0
236	candidate-cluster	NCameraModes::CPhysicsForceModelGotoOutsideSimple	407996	4	0	4	4	0	4	0
237	candidate-cluster	NCameraModes::CScriptModuleSpline	407996	4	0	4	4	0	4	0
238	candidate-cluster	NCameraModes::CSimplePointBase	407996	4	0	4	4	0	4	0
239	candidate-cluster	NCreatureMode::CModeBlock	407996	4	0	4	4	0	4	0
240	candidate-cluster	NCreatureMode::CModeBriarRoseConcentrate	407996	4	0	4	4	0	4	0
241	candidate-cluster	NCreatureMode::CModeBriarRoseTeleportIntangible	407996	4	0	4	4	0	4	0
242	candidate-cluster	NCreatureMode::CModeBriarRoseTeleportInvulnerable	407996	4	0	4	4	0	4	0
243	candidate-cluster	NCreatureMode::CModeConversation	407996	4	0	4	4	0	4	0
244	candidate-cluster	NCreatureMode::CModeDragonStrafeBurninate	407996	4	0	4	4	0	4	0
245	candidate-cluster	NCreatureMode::CModeGuildmasterPowerUpShield	407996	4	0	4	4	0	4	0
246	candidate-cluster	NCreatureMode::CModeGuildmasterPowerUpSpeed	407996	4	0	4	4	0	4	0
247	candidate-cluster	NCreatureMode::CModeIntangible	407996	4	0	4	4	0	4	0
248	candidate-cluster	NCreatureMode::CModeScorpionKingExhausted	407996	4	0	4	4	0	4	0
249	candidate-cluster	NCreatureMode::CModeScorpionKingVulnerable	407996	4	0	4	4	0	4	0
250	candidate-cluster	NCreatureMode::CModeSitChair	407996	4	0	4	4	0	4	0
251	candidate-cluster	NCreatureMode::CModeSummonerDie	407996	4	0	4	4	0	4	0
252	candidate-cluster	NDisplayView::CViewBase	407996	4	0	4	4	0	4	0
253	candidate-cluster	NEntityEvents::CEventBase	407996	4	0	4	4	0	4	0
254	candidate-cluster	NGraphicAppearance::CTCGraphicAppearanceStaticMesh	407996	4	0	4	4	0	4	0
255	candidate-cluster	NParticleEngine::CAEnvironmentInteraction	407996	4	0	4	4	0	4	0
256	candidate-cluster	NParticleEngine::CPSCAttractor	407996	4	0	4	4	0	4	0
257	candidate-cluster	NPlayerGui::CDrawAbilityButtons	407996	4	0	4	4	0	4	0
258	candidate-cluster	NScreenEffect::CScreenEffectPriorityStack::CScreenFilterProcess	407996	4	0	4	4	0	4	0
259	candidate-cluster	NThingShot::CTCShotDefinitionDrainLife	407996	4	0	4	4	0	4	0
260	candidate-cluster	NUISystem::CIMEFont	407996	4	0	4	4	0	4	0
261	candidate-cluster	NUISystem::CKeyRedefiner	407996	9	5	4	4	0	4	0
262	candidate-cluster	NUISystem::COk	407996	4	0	4	4	0	4	0
263	candidate-cluster	NUISystem::CScrollableList	407996	4	0	4	4	0	4	0
264	candidate-cluster	NUISystem::CScrollingComponent	407996	4	0	4	4	0	4	0
265	candidate-cluster	NUISystem::CSwappingStateComponent	407996	4	0	4	4	0	4	0
266	candidate-cluster	CTCCarrying	407995	22	17	5	4	0	4	0
267	candidate-cluster	CTCFlashOnHit	407995	6	1	5	4	0	4	0
268	candidate-cluster	CTCHeroOnlineScoreboard	407995	26	21	5	5	0	4	0
269	candidate-cluster	CTCRandomAppearanceMorph	407995	13	8	5	4	0	4	0
270	candidate-cluster	CTCStockItem	407995	9	4	5	4	0	4	0
271	candidate-cluster	CTCTalk	407995	20	15	5	4	0	4	0
272	candidate-cluster	NCreatureMode::CModeIceTrollGroundSmashIcicleAssault	407995	5	0	5	5	0	4	0
273	candidate-cluster	NGraphicAppearance::CTCGraphicAppearanceMultipleStaticMeshes	407995	5	0	5	5	0	4	0
274	candidate-cluster	CTCAnimationComplex	407994	11	5	6	5	0	4	0
275	candidate-cluster	CTCBoastingPosition	407994	13	7	6	5	0	4	0
276	candidate-cluster	CTCBulletTime	407994	21	15	6	5	0	4	0
277	candidate-cluster	CTCCameraPointTrack	407994	7	1	6	5	0	4	0
278	candidate-cluster	CTCCreatureGroupTag	407994	9	3	6	5	0	4	0
279	candidate-cluster	CTCDivineWrath	407994	30	24	6	5	0	4	0
280	candidate-cluster	CTCDrainLife	407994	9	3	6	5	0	4	0
281	candidate-cluster	CTCDrunkenness	407994	6	0	6	5	0	4	0
282	candidate-cluster	CTCFadeOutAndIn	407994	11	5	6	5	0	4	0
283	candidate-cluster	CTCFireballSpell	407994	16	10	6	5	0	4	0
284	candidate-cluster	CTCFireheartMinigame	407994	13	7	6	5	0	4	0
285	candidate-cluster	CTCForcePushPower	407994	7	1	6	5	0	4	0
286	candidate-cluster	CTCGhostSword	407994	13	7	6	5	0	4	0
287	candidate-cluster	CTCHealLife	407994	8	2	6	5	0	4	0
288	candidate-cluster	CTCLook	407994	66	60	6	5	0	4	0
289	candidate-cluster	CTCMultiStrike	407994	12	6	6	5	0	4	0
290	candidate-cluster	CTCNoise	407994	6	0	6	5	0	4	0
291	candidate-cluster	CTCPhotojournalCapture	407994	12	6	6	5	0	4	0
292	candidate-cluster	CTCPhysicalShieldSpell	407994	17	11	6	6	0	4	0
293	candidate-cluster	CTCSummonSpell	407994	17	11	6	5	0	4	0
294	candidate-cluster	CTCTargeted	407994	13	7	6	4	0	4	0
295	candidate-cluster	CTCTeleporter	407994	11	5	6	5	0	4	0
296	candidate-cluster	CTCUnholyPower	407994	9	3	6	5	0	4	0
297	candidate-cluster	CTCWillEnflame	407994	8	2	6	5	0	4	0
298	candidate-cluster	CTCWillLightning	407994	16	10	6	5	0	4	0
299	candidate-cluster	NGraphicAppearance::CTCGraphicAppearanceReplaceableMesh	407994	6	0	6	6	0	4	0
300	candidate-cluster	CTCBoastingPodium	407993	12	5	7	5	0	4	0
301	candidate-cluster	CTCHeroOpinionDeedLog	407993	16	9	7	6	0	4	0
302	candidate-cluster	CTCKrakenTentacle	407993	16	9	7	5	0	4	0
303	candidate-cluster	CTCOwnedEntity	407993	13	6	7	5	0	4	0
304	candidate-cluster	CTCBurntEffect	407992	11	3	8	6	0	4	0
305	candidate-cluster	CTCLightningOrb	407992	14	6	8	4	0	4	0
306	candidate-cluster	CTCQuickAccessMenu	407992	16	8	8	6	0	4	0
307	candidate-cluster	CTCBed	407986	17	3	14	8	0	4	0
308	candidate-cluster	CTCOpinionSource	407986	23	9	14	8	0	4	0
309	candidate-cluster	CTCHero	407985	27	12	15	10	0	4	0
310	candidate-cluster	CTCCarryable	407977	262	239	23	22	0	4	0
311	candidate-cluster	CTCCreatureNavigation	407968	174	142	32	30	0	4	0
312	candidate-cluster	CLandscapeBackgroundPatch	406000	3019	3019	0	0	0	3	0
313	candidate-cluster	CLandscapeBackgroundTreeNode	406000	29	29	0	0	0	3	0
314	candidate-cluster	CGameEventPackageSet	405999	4	3	1	0	0	3	0
315	candidate-cluster	CScriptedMapBrush	405999	8	7	1	0	0	3	0
316	candidate-cluster	?A0x29922355::CCreatureAction_KrakenHighAttackOutOf	405997	3	0	3	3	0	3	0
317	candidate-cluster	?A0x29922355::CCreatureAction_KrakenLowAttackOutOf	405997	3	0	3	3	0	3	0
318	candidate-cluster	?A0x29922355::CCreatureAction_KrakenRoarInto	405997	3	0	3	3	0	3	0
319	candidate-cluster	?A0x29922355::CCreatureAction_KrakenRoarLoop	405997	3	0	3	3	0	3	0
320	candidate-cluster	?A0xe09fd86b::CCreatureAction_SummonerCharge	405997	3	0	3	3	0	3	0
321	candidate-cluster	CBBBSoundAllocator	405997	3	0	3	3	0	3	0
322	candidate-cluster	CBBBSoundPhysicalAllocator	405997	3	0	3	3	0	3	0
323	candidate-cluster	CEngineDynamic3DResourceManager	405997	3	0	3	3	0	3	0
324	candidate-cluster	CGameScriptThing	405997	91	88	3	0	0	3	0
325	candidate-cluster	CGraphicInfoFrame::CFrameData	405997	3	0	3	3	0	3	0
326	candidate-cluster	CPhysicsMeshInfo::CMeshData	405997	3	0	3	3	0	3	0
327	candidate-cluster	CSoundReceiverLH	405997	3	0	3	3	0	3	0
328	candidate-cluster	CTBaseSingletonNoDefaultAlloc	405997	3	0	3	3	0	3	0
329	candidate-cluster	CTCActionUseKickChicken	405997	3	0	3	3	0	3	0
330	candidate-cluster	CTCActionUseTorch	405997	4	1	3	3	0	3	0
331	candidate-cluster	CTCActivationReceptorChest	405997	3	0	3	3	0	3	0
332	candidate-cluster	CTCCameraPointFixedPoint	405997	5	2	3	3	0	3	0
333	candidate-cluster	CTCCameraPointGeneralCase	405997	3	0	3	3	0	3	0
334	candidate-cluster	CTCCarriedActionUseFish	405997	4	1	3	3	0	3	0
