address	verdict	file	flag
00419428	EXACT	CCountedPointerstdvectorCCharString_Reset_00419428.cpp	Oy
00419463	EXACT	CCountedPointerCTexture_operator_00419463.cpp	Oy
0041947a	EXACT	CCountedPointerstdvectorCCharString_Reset_0041947a.cpp	Oy
004194b5	EXACT	DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCCountedPointerQuadricOptimiserInternals_COptimisedPrimitive_004194b5.cpp	Oy
004194ba	EXACT	CCountedPointerCTexture_operator_004194ba.cpp	Oy
004194d1	EXACT	CCountedPointerstdvectorCCharString_Reset_004194d1.cpp	Oy
00419518	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_00419518.cpp	Oy
00419554	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_00419554.cpp	Oy
004195af	EXACT	CCountedPointerstdvectorCCharString_Reset_004195af.cpp	Oy
00419603	EXACT	CEngineInternalPrimitiveMeshBase_GetMeshEffect_00419603.cpp	Oy
00419650	EXACT	CThing_GetPBaseDef_00419650.cpp	Oy
00419680	EXACT	CBulletTimeManager_IsBulletTimeActive_00419680.cpp	Oy
0041971e	EXACT	CActiveFile_OnReadFinished_0041971e.cpp	Oy
00419764	EXACT	CTCInventoryItem_OnDie_00419764.cpp	Oy
0041977d	EXACT	CLandscapeBackgroundPatch_vectordeletingdestructor_0041977d.cpp	Oy
004197a0	EXACT	CMainGameComponent_SetQuit_004197a0.cpp	Oy
004197b0	EXACT	CMainGameComponent_IsEditorActive_004197b0.cpp	Oy
004197b3	RELOC	CLandscapeBackgroundPatch_vectordeletingdestructor_004197b3.cpp	Oy
004197f0	NO_ORACLE	global_sub004197f0_004197f0.cpp	
0041a0a0	RELOC	Global_GetMiscDirectoryA_0041a0a0.cpp	Oy
0041a0c0	RELOC	Global_GetMiscDirectoryB_0041a0c0.cpp	Oy
0041a100	RELOC	Global_GetGraphicsDirectory_0041a100.cpp	Oy
0041a120	RELOC	Global_GetLanguageDirectoryA_0041a120.cpp	Oy
0041a180	RELOC	Global_GetCacheDirectory_0041a180.cpp	Oy
