address	module	status	retail_bytes	object_text_bytes	object_symbol	first_difference	matching_prefix_bytes	relocation_count	relocation_offsets	retail_sha256	object_sha256
008ed590	CObjectFamilyDef	DIFFER	166	141	?GetRandomObject@CObjectFamilyDef@@QBEJXZ	2	2	2	0x2e;0x4d	2f5150c6d23290cda01184c41f906e47d5a75770238fc996033f46f66a3f1f77	7a9c9e174761454d722dedf10848ada7aa9e219571c07b1789529cdbf475c3dc
00bdf010	CLocalDetailCacheMap	DIFFER	186	150	?OpenStaticMap@CLocalDetailCacheMap@@QAEXPAVCEngineStaticMapFileBlockManager@@AAVCDataInputStream@@@Z	2	2	3	0x3f;0x81;0x8a	38eaecafaa424c91f774506447ad29ce40813fe4acdc7c2bbee526f1416d0fe2	bea0a7fc7cfa244497da97239fd8de219fe9820e2a02188dc182a7fae56f7231
00bdd0e0	CEngineLandscapeMap	DIFFER	292	328	?OpenStaticMap@CEngineLandscapeMap@@QAEXPAVCEngineStaticMapFileBlockManagerRef@@AAVCDataInputStream@@@Z	7	7	6	0x2e;0x95;0xbc;0xd4;0x130;0x13a	cb795c69d12c1c9a79f4458b6d4b7bc9d9996062c4749d25b01096bb1c68f9ec	9cc24755fe0e683560bad889931c1fe4d5aeecde259498ee6f22050c69392121
00bebed0	CEnginePrimitiveManagerMeshBase	DIFFER	302	300	?GetComposedTexture@CEnginePrimitiveManagerMeshBase@@SIPBVCTexture@@AAJAAV?$CVectorMap@JUCCompositeSurfaceInfo@@V?$CKeyPairCompareLess@JUCCompositeSurfaceInfo@@@@@@K_NPBVCGraphicDataBank@@@Z	0	0	9	0x14;0x45;0x6e;0x92;0xac;0xbb;0xe2;0xfc;0x10b	589bb642607a4576a1604b1a1e4c5689c80515967df47262b9cb4531d7d9dca9	aff0e564f31c58b53f20c04f55ae6a0614975607c88eb64c474b25b5e99f18f1
00bdc180	CEngineLandscapeMap	RELOCATION_MATCH	327	327	?UpdateBackgroundLOD@CEngineLandscapeMap@@QAE?AW4LS_LOADING_STATUS@@AAVCLandscapeGPUUpdateQueue@@N_N@Z	58	58	14	0x3a;0x49;0x59;0x6b;0x8a;0x94;0xa1;0xa8;0xb1;0xd0;0xe2;0x101;0x127;0x135	fbfb1cc21ed7367e2c6b4115ee24d3e873042c21a3169987e0deb1eaa6cc42d0	ebc72727e59b829d7e168097dca14fcd62198edd8467cca0ff614c922373cf4a
00be8920	CLandscapeBackgroundPatch	DIFFER	365	328	?LoadCompressed@CLandscapeBackgroundPatch@@QAE_NAAVCMemoryDataInputStream@@MM@Z	2	2	11	0x46;0x87;0x90;0xa2;0xb4;0xe2;0xf9;0x10f;0x125;0x130;0x139	6f25b259902f957524cf38c5b21c0649d6fccd86a8fffab891d5718a14473fae	6ccd6d8f496edbf7a3c45c52c0a5a8c836c1fa654471a6d5fd514b87a45c6f6b
00bec470	CEnginePrimitiveManagerMeshBase	DIFFER	526	467	?PreloadBumpTexture@CEnginePrimitiveManagerMeshBase@@SIXPBVC3DMeshMaterial@@PAVCEngineInternalPrimitiveMorphInfo@@KAA_NPBVCGraphicDataBank@@@Z	1	1	11	0x29;0x7d;0x8f;0x9e;0xd1;0xf1;0x139;0x14b;0x172;0x184;0x1aa	f5e6630530e63e5c024fa133cfc58583818c2b0c3767e2edfea24229757bee7a	dbcb110c7b6dd84de5123a1c459e4d6b298d1369fa625bb178727de4aee158f0
00bec950	CEnginePrimitiveManagerMeshBase	DIFFER	578	517	?GetOverlaidTextures@CEnginePrimitiveManagerMeshBase@@SI_NABVCEngineTextureDecal@@AAV?$CArray@PBVCTexture@@@@KPBVCGraphicDataBank@@@Z	2	2	9	0x2f;0xaa;0xb9;0xf0;0x16b;0x17d;0x1a8;0x1ba;0x1e4	a8ef6c6a52795f4206b666b822ee6ec7647a89cfe48be9a42efe8a6ed757594d	cc0de67c81805d7b65623851e66bfe856984ddda77a438b6976964f10b4a1c5d
00ab46e0	CMouseDX	MATCH	24	24	?GetPos@CMouseDX@@UBEXPAVC2DVector@@@Z		24	0		7927d204740023f3621a6c68722df53dd139b293224404a00a3cc3a1c4400d75	7927d204740023f3621a6c68722df53dd139b293224404a00a3cc3a1c4400d75
00bf4220	CEngineLandscapePatch	DIFFER	634	615	?UpdateForeground@CEngineLandscapePatch@@QAE?AW4LS_LOADING_STATUS@@V?$CCountedPointer@VCBankFileAsyncEntry@@@@@Z	2	2	16	0x13;0xe3;0x13f;0x14b;0x153;0x17f;0x19f;0x1a6;0x1b2;0x1be;0x1c7;0x1e1;0x1ff;0x21b;0x228;0x254	5bd5ae46cdccd0184007e968e898d22e2f0b37da0f7fe5e34bd12ca97f03a386	fea80e7add82fb8c798d8f4dabdeb55b218a860d3a100db296dc84428c72f053
00ab4700	CMouseDX	DIFFER	174	184	?SetPos@CMouseDX@@UAEXPBVC2DVector@@@Z	19	19	7	0x3b;0x5f;0x71;0x86;0x95;0xa5;0xac	e3f4c74aa08f85176b84ba21071be38e88ef8b4f23f805aead6d274af13aa377	0c58904a15f0fe063e8e7a6e5d1a5ba5f6fba71b2df53c724d47ee7039857afa
00bf8810	CLandscapeBackgroundTreeNode	DIFFER	912	794	?UpdateStaticLOD@CLandscapeBackgroundTreeNode@@QAE?AW4LS_LOADING_STATUS@@N_NPAVCEngineStaticMapFileBlockManager@@@Z	8	8	18	0x1d;0x63;0x9b;0xe2;0x100;0x13f;0x161;0x184;0x1a2;0x1c1;0x1dc;0x21a;0x234;0x252;0x270;0x2d1;0x2e1;0x2ff	be2dcf0ea76c21028dfde2960d157ba84c0e74fb7b5ad50c4163f4fdf012b629	455da1c0f70cefb8f8d8bf478fa41722a3da16e084220a69ae19ea32be3695ee
00bec000	CEnginePrimitiveManagerMeshBase	DIFFER	1124	319	?PreloadDiffuseTexture@CEnginePrimitiveManagerMeshBase@@SIXPBVC3DMeshMaterial@@PAVCEngineInternalPrimitiveMorphInfo@@KAA_NPBVCGraphicDataBank@@@Z	2	2	3	0xa9;0xe1;0x123	cb4ca4c28f088341caf73390cc2b393c8543b9f3102dbce1c867b78b5eb74f83	8b5bd73287abae224c56475523ab989552fa1b0d15e0dd74929fef51a22d3ccb
