address	category	current	proposed
0095aa60	disagree	IsRunnable	?IsRunnable@CAIStateGroup_HoverHornetQueenTakeDamage@@UAE_NXZ
0095ab30	disagree	Unwind@00fbdab0	?OnReplace@CAIStateGroup_HoverHornetQueen@@UAEXXZ
0095b280	agree	?Update@CAIStateGroup_HoverHornetQueenTakeDamage@@UAEXXZ	?Update@CAIStateGroup_HoverHornetQueenTakeDamage@@UAEXXZ
0095b5a0	disagree	IsRunnable	?IsRunnable@CAIStateGroup_HoverHornetQueen@@UAE_NXZ
0095c1f0	agree	?Update@CAIStateGroup_HoverHornetQueen@@UAEXXZ	?Update@CAIStateGroup_HoverHornetQueen@@UAEXXZ
0095ca60	agree	?IsToRetainSafeDistance@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ	?IsToRetainSafeDistance@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ
0095ca70	agree	?IsToFaceTargetAtStart@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ	?IsToFaceTargetAtStart@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ
0095ca80	agree	?IsBlockable@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ	?IsBlockable@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ
0095ca90	agree	?IsKnockdownStrike@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ	?IsKnockdownStrike@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ
0095caa0	agree	?IsMovementUsingPhysics@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ	?IsMovementUsingPhysics@CCreatureAction_WaspQueenPrimaryAttack@@UBE_NXZ
0095cb20	agree	?IsToRetainSafeDistance@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ	?IsToRetainSafeDistance@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ
0095cb30	agree	?IsToFaceTargetAtStart@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ	?IsToFaceTargetAtStart@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ
0095cb40	agree	?IsBlockable@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ	?IsBlockable@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ
0095cb50	agree	?IsKnockdownStrike@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ	?IsKnockdownStrike@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ
0095cb60	agree	?IsMovementUsingPhysics@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ	?IsMovementUsingPhysics@CCreatureAction_WaspQueenLashOutAttack@@UBE_NXZ
0095cc00	agree	?IsStrikeAction@CCreatureAction_QueenHornetShootBabies@@UBE_NXZ	?IsStrikeAction@CCreatureAction_QueenHornetShootBabies@@UBE_NXZ
0095cc10	agree	?IsToEvadeAllHits@CCreatureAction_QueenHornetShootBabies@@UBE_NXZ	?IsToEvadeAllHits@CCreatureAction_QueenHornetShootBabies@@UBE_NXZ
0095cca0	agree	?Clone@CCreatureAction_WaspQueenPrimaryAttack@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_WaspQueenPrimaryAttack@@UBEPAVCCreatureActionBase@@XZ
0095ccd0	agree	?Clone@CCreatureAction_WaspQueenLashOutAttack@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_WaspQueenLashOutAttack@@UBEPAVCCreatureActionBase@@XZ
0095cd00	agree	?Clone@CCreatureAction_QueenHornetShootBabies@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_QueenHornetShootBabies@@UBEPAVCCreatureActionBase@@XZ
0095d200	agree	?Update@CAIStateGroup_RangedCombatUsePreferredFirePoint@@UAEXXZ	?Update@CAIStateGroup_RangedCombatUsePreferredFirePoint@@UAEXXZ
0095d3a0	disagree	OnReplace	?OnReplace@CAIStateGroup_RangedCombatUsePreferredFirePoint@@UAEXXZ
0095d590	disagree	IsRunnable	?IsRunnable@CAIStateGroup_RangedCombatUsePreferredFirePoint@@UAE_NXZ
0095e0a0	agree	?InitStateGroup@CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets@@MAEXABVCWorld@@AAVCThingAICreature@@@Z	?InitStateGroup@CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets@@MAEXABVCWorld@@AAVCThingAICreature@@@Z
0095e0b0	agree	?Update@CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets@@MAEXXZ	?Update@CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets@@MAEXXZ
0095e260	disagree	IsRunnable	?IsRunnable@CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets@@MAE_NXZ
0095e340	agree	?Cleanup@CAIStateGroup_ReactToDeadLeader@@MAEXXZ	?Cleanup@CAIStateGroup_ReactToDeadLeader@@MAEXXZ
0095e350	disagree	IsRunnable	?IsRunnable@CAIStateGroup_ReactToDeadLeader@@MAE_NXZ
0095e470	disagree	Update	?Update@CAIStateGroup_ReactToDeadLeader@@MAEXXZ
0095e790	agree	?IsRunnable@CAIStateGroup_BoastingCrowdMember@@MAE_NXZ	?IsRunnable@CAIStateGroup_BoastingCrowdMember@@MAE_NXZ
0095e870	agree	?IsStillValid@CAIStateGroup_BoastingCrowdMember@@MBE_NXZ	?IsStillValid@CAIStateGroup_BoastingCrowdMember@@MBE_NXZ
0095e900	disagree	Update	?Update@CAIStateGroup_BoastingCrowdMember@@MAEXXZ
0095ebf0	agree	?OnReplace@CAIStateGroup_BoastingCrowdMember@@MAEXXZ	?OnReplace@CAIStateGroup_BoastingCrowdMember@@MAEXXZ
0095ed60	agree	?InitStateGroup@CAIStateGroup_OpinionReactionRoot@@UAEXABVCWorld@@AAVCThingAICreature@@@Z	?InitStateGroup@CAIStateGroup_OpinionReactionRoot@@UAEXABVCWorld@@AAVCThingAICreature@@@Z
0095ede0	agree	?GetDebugText@CAIStateGroup_OpinionReactionRoot@@UBEPBVCCharString@@XZ	?GetDebugText@CAIStateGroup_OpinionReactionRoot@@UBEPBVCCharString@@XZ
0095ee40	agree	?IsStillValid@CAIStateGroup_OpinionReactionRoot@@UBE_NXZ	?IsStillValid@CAIStateGroup_OpinionReactionRoot@@UBE_NXZ
0095ef80	disagree	IsRunnable	?IsRunnable@CAIStateGroup_OpinionReactionRoot@@UAE_NXZ
0095f580	disagree	OnActivate	?OnActivate@CAIStateGroup_OpinionReactionRoot@@UAEXXZ
0095f660	agree	?OnReplace@CAIStateGroup_OpinionReactionRoot@@UAEXXZ	?OnReplace@CAIStateGroup_OpinionReactionRoot@@UAEXXZ
0095f6f0	agree	?Update@CAIStateGroup_OpinionReactionRoot@@UAEXXZ	?Update@CAIStateGroup_OpinionReactionRoot@@UAEXXZ
0095fe60	disagree	InitStateGroup	?InitStateGroup@CAIStateGroup_DeedReactionRoot@@UAEXABVCWorld@@AAVCThingAICreature@@@Z
0095fed0	disagree	IsStillValid	?IsStillValid@CAIStateGroup_DeedReactionRoot@@UBE_NXZ
00960070	agree	?OnActivate@CAIStateGroup_DeedReactionRoot@@UAEXXZ	?OnActivate@CAIStateGroup_DeedReactionRoot@@UAEXXZ
00960120	agree	?Update@CAIStateGroup_DeedReactionRoot@@UAEXXZ	?Update@CAIStateGroup_DeedReactionRoot@@UAEXXZ
00960760	agree	?OnReplace@CAIStateGroup_DeedReactionRoot@@UAEXXZ	?OnReplace@CAIStateGroup_DeedReactionRoot@@UAEXXZ
009609b0	disagree	IsRunnable	?IsRunnable@CAIStateGroup_DeedReactionRoot@@UAE_NXZ
00960f00	agree	?IsRunnable@CAIStateGroup_DeedReactionRootFromSleep@@UAE_NXZ	?IsRunnable@CAIStateGroup_DeedReactionRootFromSleep@@UAE_NXZ
009612e0	agree	?Initialise@CAIStateGroup_BanditKingLunge@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z	?Initialise@CAIStateGroup_BanditKingLunge@@UAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
009612f0	disagree	IsRunnable	?IsRunnable@CAIStateGroup_BanditKingCharge@@MAE_NXZ
009614a0	disagree	IsRunnable	?IsRunnable@CAIStateGroup_BanditKingLunge@@MAE_NXZ
00961550	disagree	IsRunnable	?IsRunnable@CAIStateGroup_BanditKingThrowWeapons@@MAE_NXZ
00961640	agree	?Update@CAIStateGroup_BanditKingThrowWeapons@@MAEXXZ	?Update@CAIStateGroup_BanditKingThrowWeapons@@MAEXXZ
00961790	agree	?Update@CAIStateGroup_BanditKingCharge@@MAEXXZ	?Update@CAIStateGroup_BanditKingCharge@@MAEXXZ
00961880	agree	?Update@CAIStateGroup_BanditKingLunge@@MAEXXZ	?Update@CAIStateGroup_BanditKingLunge@@MAEXXZ
00961a00	agree	?GetAnimationTransitionInTime@CCreatureAction_BanditKingLunge@@UBEJXZ	?GetAnimationTransitionInTime@CCreatureAction_BanditKingLunge@@UBEJXZ
00961a10	agree	?IsKnockdownStrike@CCreatureAction_BanditKingLunge@@UBE_NXZ	?IsKnockdownStrike@CCreatureAction_BanditKingLunge@@UBE_NXZ
00961a20	agree	?IsBlockable@CCreatureAction_BanditKingLunge@@UBE_NXZ	?IsBlockable@CCreatureAction_BanditKingLunge@@UBE_NXZ
00961a30	agree	?IsToCauseRecoil@CCreatureAction_BanditKingLunge@@UBE_NXZ	?IsToCauseRecoil@CCreatureAction_BanditKingLunge@@UBE_NXZ
00961a70	agree	?Clone@CCreatureAction_BanditKingLunge@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_BanditKingLunge@@UBEPAVCCreatureActionBase@@XZ
00961aa0	disagree	Initialise	?Initialise@CAIStateGroup_IceTrollIcicleAssault@@MAEXAAVCAIBrain@@AAVCThingAICreature@@JW4EScriptAIPriority@@ABVCCharString@@@Z
00961ca0	disagree	IsRunnable	?IsRunnable@CAIStateGroup_IceTrollIcicleAttack@@MAE_NXZ
00961e10	agree	?Cleanup@CAIStateGroup_IceTrollIcicleAttack@@MAEXXZ	?Cleanup@CAIStateGroup_IceTrollIcicleAttack@@MAEXXZ
00961e80	agree	?IsRunnable@CAIStateGroup_IceTrollPoundGroundAttack@@MAE_NXZ	?IsRunnable@CAIStateGroup_IceTrollPoundGroundAttack@@MAE_NXZ
00961f40	agree	?Cleanup@CAIStateGroup_IceTrollPoundGroundAttack@@MAEXXZ	?Cleanup@CAIStateGroup_IceTrollPoundGroundAttack@@MAEXXZ
00961fb0	agree	?IsRunnable@CAIStateGroup_IceTrollIcicleAssault@@MAE_NXZ	?IsRunnable@CAIStateGroup_IceTrollIcicleAssault@@MAE_NXZ
00962180	agree	?Cleanup@CAIStateGroup_IceTrollIcicleAssault@@MAEXXZ	?Cleanup@CAIStateGroup_IceTrollIcicleAssault@@MAEXXZ
009621f0	agree	?Update@CAIStateGroup_IceTrollIcicleAttack@@MAEXXZ	?Update@CAIStateGroup_IceTrollIcicleAttack@@MAEXXZ
009624d0	agree	?Update@CAIStateGroup_IceTrollPoundGroundAttack@@MAEXXZ	?Update@CAIStateGroup_IceTrollPoundGroundAttack@@MAEXXZ
009627c0	agree	?Update@CAIStateGroup_IceTrollIcicleAssault@@MAEXXZ	?Update@CAIStateGroup_IceTrollIcicleAssault@@MAEXXZ
