127	00898bb0	?GiveHeroItem@CGameScriptInterface@@UBEXABVCScriptThing@@@Z
128	00898c40	?GiveHeroItemsFromContainer@CGameScriptInterface@@UBE_NABVCScriptThing@@_N@Z
129	00898db0	?TakeObjectFromHero@CGameScriptInterface@@UBEXABVCCharString@@@Z
130	00898f40	?GiveHeroGold@CGameScriptInterface@@UBEXJ@Z
131	00898fa0	?GetHeroGold@CGameScriptInterface@@UBEJXZ
132	00899000	?GiveHeroExperience@CGameScriptInterface@@UBEXJ@Z
133	00899060	?SetHeroAbleToGainExperience@CGameScriptInterface@@UBEX_N@Z
134	008916a0	?SheatheHeroWeapons@CGameScriptInterface@@UBEXXZ
135	00898340	?SetHeroWillAsUsable@CGameScriptInterface@@UBEX_N@Z
136	00898410	?SetHeroWeaponsAsUsable@CGameScriptInterface@@UBEX_N@Z
137	008984e0	?SetWeaponOutCrimeEnabled@CGameScriptInterface@@UBEX_N@Z
138	00898540	?SetGuardsIgnoreCrimes@CGameScriptInterface@@UBEX_N@Z
139	00898600	?RemoveAllHeroWeapons@CGameScriptInterface@@UBEXXZ
140	008985a0	?IsReportedOrUnreportedCrimeKnown@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
141	008986d0	?ConfiscateAllHeroItems@CGameScriptInterface@@UBEXXZ
142	008987e0	?ConfiscateAllHeroWeapons@CGameScriptInterface@@UBEXXZ
143	00898840	?ConfiscateItemsOfTypeFromHero@CGameScriptInterface@@UBEXABVCCharString@@@Z
144	00898940	?ReturnAllConfiscatedItemsToHero@CGameScriptInterface@@UBEXXZ
145	00898a50	?GiveHeroTutorial@CGameScriptInterface@@UBE_NW4ETutorialCategory@@@Z
146	00897fa0	?MakeHeroCarryItemInHand@CGameScriptInterface@@UBEXABVCScriptThing@@_N1@Z
147	00897e10	?MakeHeroCarryItemInHand@CGameScriptInterface@@UBEXABVCCharString@@@Z
148	008981c0	?AddTattooToHero@CGameScriptInterface@@UBEXABVCCharString@@@Z
149	0088fcc0	?GiveHeroAbility@CGameScriptInterface@@UBEXW4EHeroAbility@@_N@Z
150	00899b10	?IsPlayerZTargetingThing@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
151	00899ba0	?IsPlayerCreatureBlocking@CGameScriptInterface@@UBE_NXZ
152	00899c10	?IsPlayerCreatureReadyToFireProjectileWeapon@CGameScriptInterface@@UBE_NAAM@Z
153	00899c90	?GetPlayerCreatureCombatMultiplier@CGameScriptInterface@@UBEJXZ
154	00899cf0	?GetPlayerCreatureCombatMultiplierRunningNumHits@CGameScriptInterface@@UBEJXZ
155	00899d50	?ResetPlayerCreatureCombatMultiplier@CGameScriptInterface@@UBEXXZ
156	00899db0	?IsPlayerCreatureFlourishEnabled@CGameScriptInterface@@UBE_NXZ
157	00899e10	?SetPlayerCreatureOnlyTarget@CGameScriptInterface@@UBEXABVCScriptThing@@@Z
158	00899e90	?ResetPlayerCreatureOnlyTarget@CGameScriptInterface@@UBEXXZ
159	0088e150	?RespawnHero@CGameScriptInterface@@UBEX_N@Z
160	00899ef0	?GiveHeroMorality@CGameScriptInterface@@UBEXM@Z
161	00899f90	?GetHeroMorality@CGameScriptInterface@@UBEMXZ
162	0089a000	?GetHeroMoralityCategory@CGameScriptInterface@@UBE?AW4EMorality@@XZ
163	0089a070	?ChangeHeroMoralityDueToTheft@CGameScriptInterface@@UBEXXZ
164	0089a0e0	?ChangeHeroMoralityDueToPicklock@CGameScriptInterface@@UBEXXZ
165	008990c0	?GiveHeroRenownPoints@CGameScriptInterface@@UBEXJ@Z
166	00899140	?GetHeroRenownLevel@CGameScriptInterface@@UBEJXZ
167	008991a0	?IsHeroRenownLevelFull@CGameScriptInterface@@UBE_NXZ
168	00899220	?IncreaseHeroRenownLevel@CGameScriptInterface@@UBEXXZ
169	00899390	?GetHeroStrengthLevel@CGameScriptInterface@@UBEJXZ
170	00899400	?GetHeroSkillLevel@CGameScriptInterface@@UBEJXZ
171	00899470	?GetHeroWillLevel@CGameScriptInterface@@UBEJXZ
172	00899290	?GetHeroStatLevel@CGameScriptInterface@@UBEJW4EHeroTrainableStatType@@@Z
173	00899310	?GetHeroStatMax@CGameScriptInterface@@UBEJW4EHeroTrainableStatType@@@Z
174	008994e0	?SetHeroAge@CGameScriptInterface@@UBEXM@Z
175	00899560	?GetHeroAge@CGameScriptInterface@@UBEMXZ
176	008995d0	?SetHeroAsTeenager@CGameScriptInterface@@UBEX_N@Z
177	00899680	?SetHeroAsApprentice@CGameScriptInterface@@UBEX_N@Z
178	00899700	?GetDistanceHeroCanBeHeardFrom@CGameScriptInterface@@UBEMXZ
179	00899770	?GetHeroRoughExperienceLevel@CGameScriptInterface@@UBEJXZ
