#target_addr	target_old	donor_name	similarity	significance	applied
a52450	?ToMatrix@CQuaternion@@QBEXAAVCMatrix3x4@@ABVC3DVector@@@Z	?ToMatrix@CQuaternion@@QBEXAAVCMatrix3x4@@ABVC3DVector@@@Z	0.5046628257487038	43.51699120624436	true
a717a0	??$_Copy_impl@PAVCTargetPoint@NPlayerTargeting@@PAV12@@std@@YIPAVCTargetPoint@NPlayerTargeting@@PAV12@00U_Nonscalar_ptr_iterator_tag@0@@Z	??$_Copy_impl@PAVCTargetPoint@NPlayerTargeting@@PAV12@@std@@YIPAVCTargetPoint@NPlayerTargeting@@PAV12@00U_Nonscalar_ptr_iterator_tag@0@@Z	0.5116251466932231	17.60051749625281	true
a77540	?MovedInNotification@CTCBuyableHouse@@QAEXJ@Z	?MovedInNotification@CTCBuyableHouse@@QAEXJ@Z	0.5586372702200977	9.768219403268159	true
a85f30	?ClipBox@CEngine@@UBE_NABVC3DBoundingBox@@@Z	?ClipBox@CEngine@@UBE_NABVC3DBoundingBox@@@Z	0.5180140202568999	7.293839781377567	true
a982d0	?DestroyWaterGenerator@CEngineWaterRenderer@@QAEXXZ	?DestroyWaterGenerator@CEngineWaterRenderer@@QAEXXZ	0.5617684194179265	10.8147767080027	true
a98760	?ReleaseAll@Image8@@QAEXXZ	?ReleaseAll@Image8@@QAEXXZ	0.5350630712516761	15.715641858579502	true
a987b0	?ReleaseAll@Image8@@QAEXXZ	?ReleaseAll@Image8@@QAEXXZ	0.5350630712516761	15.715641858579502	true
a9d580	?PostScale@CMatrix3x4@@QAEXABVC3DVector@@@Z	?PostScale@CMatrix3x4@@QAEXABVC3DVector@@@Z	0.596432939151569	28.210085221025675	true
aa39a0	?ToMatrix@CQuaternion@@QBEXAAVCMatrix3x4@@ABVC3DVector@@@Z	?ToMatrix@CQuaternion@@QBEXAAVCMatrix3x4@@ABVC3DVector@@@Z	0.5691541050392738	46.84447522203198	true
aa91f0	?RemovePredicate@CScriptBase@@QAEXXZ	?RemovePredicate@CScriptBase@@QAEXXZ	0.5255513831380975	18.07658472896846	true
aadfc0	?DestroyWaterGenerator@CEngineWaterRenderer@@QAEXXZ	?DestroyWaterGenerator@CEngineWaterRenderer@@QAEXXZ	0.5617684194179265	10.8147767080027	true
