# class(module)	fnCount
CTCRegionDisplay	9
CTCForcePushPower	9
CTCElectrocutedEffect	9
CTCCreatureTintEffect	9
CTCHeroSpecialMovement	9
CTCAtmosPlayer	9
CTCActionUseBase	9
CTCDRumble	9
CTCGatherPointBase	9
CTCHaste	9
CTCDExplosiveTrail	9
CMovie	9
CScrollableList	9
CMouseCursor	9
CScriptModuleBase	9
NCameraModes	9
NAnimationEvents	9
CModeJackOfBladesFlash	9
CShape	9
CEventHitBase	9
CCreatureAction_InterruptableMidAttackAutoTurn	9
CVillageTaskSecuritySweep	9
CVillageTaskCarryCrate	9
CWorldMapPlacementPopupDialog	9
CEditInputProcessView3D	9
CAIStateGroup_MinionGossip	9
CAIStateGroup_StealthSeekEnemy	9
CAIStateGroup_PrepareMeal	9
CAIStateGroup_LightHomeCandle	9
CAIStateGroup_MinionReactToCrime	9
CAIStateGroup_RangedCombatUsePreferredFirePoint	9
CAIStateGroup_CreatureTakeCover	9
CPhysicsForceModelBase	9
CAIStateGroup_MeleeCombatNearbyBase	9
CEngineStaticMapFileBlockManager	9
CEngineWaterBackgroundSubPatch	9
CEnginePrimitiveManagerOcclusionBase	9
CEngineClothRenderer	9
CEnginePrimitiveManagerParticleDecalGroup	9
CEnginePrimitiveRenderUtil	9
CLocalDetailPrimitiveMeshZSpriteBatch	9
CMemoryDataOutputStream	9
CWParsedItem	9
CPrimitive	9
CContainmentVolume	9
CPhonemeDataBank	9
CChunkedFileChunk	9
CVertexGroupBlock	9
CGameflowAssistanceScript	9
CQ_BanditCampScript	9
CQ_HeroSoulsArenaScript	9
CQ_MinionClifftopChaseScript	9
CQ_TentacleKrakenBossFightScript	9
CV_AssassinAttacksScript	9
CBS_Teacher	9
CV_IntroductionToTrophiesScript	9
CV_MurderTwistFinalScript	9
CMurderTwistSheriffGuard	9
CMurderTwistAssassin	9
CV_SwordInTheStoneScript	9
CV_TravellingHeroesScript	9
CV_TourGuideScript	9
CQ_CinemaTestScript	9
CTattooDef	8
CRuntimeQuestPersistence	8
CModeScorpionKingVulnerable	8
CTCSmokeGenerator	8
CTCPhysicsLight	8
CTCCreatureExpression	8
CTCCupboard	8
CTCHeroRememberCrimes	8
CTCCameraPointTrack	8
CTCHeroPodium	8
