address	name	named	size	thunk	ok	error
004107e0	Transfer<long>	1	32	0	1	
00410800	Transfer<long>	1	32	0	1	
00410820	GetDef<CHeroPostcardGeneratorDef>	1	104	0	1	
00410890	GetDef<CThingPhysicalSwitchDef>	1	108	0	1	
004109a0	Transfer<CIntelligentPointer<CThing>_>	1	36	0	1	
00410ac0	Transfer<CIntelligentPointer<CThing>_>	1	36	0	1	
00410be0	Transfer<signed_char>	1	27	0	1	
00410d80	FUN_00410d80	0	48	0	1	
00410de0	FUN_00410de0	0	63	0	1	
00410ed0	FUN_00410ed0	0	67	0	1	
00410f30	FUN_00410f30	0	77	0	1	
00411010	Transfer<CCharString>	1	76	0	1	
00411060	Transfer<CCharString>	1	76	0	1	
004110b0	Transfer<long>	1	32	0	1	
004110d0	FUN_004110d0	0	289	0	1	
00411250	TransferOut	1	72	0	1	
004112a0	TransferIn	1	705	0	1	
00411570	Compare	1	40	0	1	
004115a0	operator==	1	88	0	1	
00411630	FUN_00411630	0	318	0	1	
004117c0	FUN_004117c0	0	243	0	1	
00411910	FUN_00411910	0	77	0	1	
00411980	SetParentColour	1	37	0	1	
00411a10	FUN_00411a10	0	227	0	1	
00411b00	FUN_00411b00	0	38	0	1	
00411b90	FUN_00411b90	0	323	0	1	
00411db0	FUN_00411db0	0	339	0	1	
00411f10	FUN_00411f10	0	272	0	1	
00412020	OnDie	1	46	0	1	
00412050	?GetPosition@CMemoryFile@@UBEJXZ	1	4	0	1	
00412060	?GetLength@CMemoryFile@@UBEJXZ	1	4	0	1	
00412070	?GetPathname@CMemoryFile@@UBE?AVCWideString@@XZ	1	22	0	1	
00412090	?GetFileInformation@CAFile@@UAE?AVCFileInformation@@XZ	1	34	0	1	
004120c0	`vector_deleting_destructor'	1	67	0	1	
00412130	ResetRings	1	49	0	1	
004121d0	FUN_004121d0	0	50	0	1	
00412210	FreeBuffer	1	150	0	1	
004122d0	resize	1	85	0	1	
00412330	FUN_00412330	0	280	0	1	
00412450	FUN_00412450	0	104	0	1	
004124c0	FUN_004124c0	0	209	0	1	
004125a0	FUN_004125a0	0	310	0	1	
004126e0	FUN_004126e0	0	256	0	1	
004127e0	FUN_004127e0	0	101	0	1	
00412880	_Umove<EWeaponClass*>	1	25	0	1	
004128a0	FUN_004128a0	0	59	0	1	
00412970	EventScanStart	1	64	0	1	
004129f0	resize	1	92	0	1	
00412a50	resize	1	76	0	1	
00412aa0	_Umove<EWeaponClass*>	1	52	0	1	
00412b00	`vector_deleting_destructor'	1	30	0	1	
00412b20	resize	1	66	0	1	
00412b70	FUN_00412b70	0	101	0	1	
00412c10	_Umove<EWeaponClass*>	1	55	0	1	
00412c50	_Umove<EWeaponClass*>	1	30	0	1	
00412c70	GFSerialiseVectorBinaryIn<CBrainUpdateZone>	1	171	0	1	
00412d20	GFSerialiseVectorBinaryIn<CRGBColour>	1	140	0	1	
00412db0	Transfer<signed_char>	1	27	0	1	
00412e80	Transfer<signed_char>	1	27	0	1	
00412f60	Uninitialise	1	5	1	1	
00412f90	Play	1	394	0	1	
00413120	FUN_00413120	0	128	0	1	
004131a0	CMainGameComponentInit	1	36	0	1	
004131d0	_Dest_val<std::allocator<CMacro>,CMacro>	1	35	0	1	
00413200	C3DAnimationUtil	1	18	0	1	
00413230	`vector_deleting_destructor'	1	30	0	1	
00413280	list<CMessageEvent_const*,std::allocator<CMessageEvent_const*>_>	1	15	0	1	
00413310	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
00413350	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
004133a0	`vector_deleting_destructor'	1	30	0	1	
00413480	`vector_deleting_destructor'	1	39	0	1	
00413520	Reset	1	103	0	1	
00413590	Reset	1	103	0	1	
00413700	?GetTypeAsString@CConsoleVariable@@EBE?AVCCharString@@XZ	1	25	0	1	
00413780	`vector_deleting_destructor'	1	39	0	1	
004138d0	GFParseCommandLine	1	891	0	1	
00413c50	InitialiseConsoleVariables	1	4158	0	1	
00414c90	Get	1	69	0	1	
00414ce0	Get	1	66	0	1	
00414de0	CIndexBuffer	1	15	0	1	
00414e00	_Destroy_range<std::allocator<CSpeechFrame>_>	1	33	0	1	
00414e30	FUN_00414e30	0	88	0	1	
00414ea0	ResetRings	1	49	0	1	
00414ef0	ResetRings	1	49	0	1	
00414f30	CConsoleClasslessCommand	1	49	0	1	
00414f70	?GetTypeAsString@CConsoleCommandBase@@MBE?AVCCharString@@XZ	1	25	0	1	
00414f90	~CCompressedMemoryDataInputStream	1	40	0	1	
00414fc0	`scalar_deleting_destructor'	1	61	0	1	
00415050	`vector_deleting_destructor'	1	30	0	1	
00415070	GetLanguage	1	495	0	1	
00415260	GetFontBankName	1	178	0	1	
00415350	GetFontBankName	1	178	0	1	
00415440	GetFontBankName	1	178	0	1	
00415530	GetActionName	1	19	0	1	
00415550	GetFontBankName	1	178	0	1	
00415640	GetUIGraphics	1	421	0	1	
00415830	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimitive::CTriangleList>_>,CIVCountedPointer<N3DPrimitive::CTriangleList>_>	1	27	0	1	
00415890	GetDef<CHeroPostcardGeneratorDef>	1	104	0	1	
00415920	?Init@CGameComponent@@UAEXXZ	1	1	0	1	
00415930	?SetQuit@CGameComponent@@MAEXXZ	1	1	0	1	
00415940	`vector_deleting_destructor'	1	43	0	1	
004159b0	CGameEvent	1	27	0	1	
004159e0	AddUBYTE	1	15	0	1	
00415a60	CInterpolationInfo	1	43	0	1	
00415b80	CNavigationLayer	1	48	0	1	
00415bd0	GetWidth	1	18	0	1	
00415bf0	GetHeight	1	19	0	1	
00415c10	C3DAnimationUtil	1	18	0	1	
00415c30	CDiskFileWin32	1	30	0	1	
00415d70	operator_class_CCharString	1	25	0	1	
00415d90	ToWideString	1	50	0	1	
00415dd0	operator_class_CCharString	1	25	0	1	
00415e17	CMainGameComponentInit	1	57	0	1	
00415e50	C3DAnimationUtil	1	18	0	1	
00415e67	`vector_deleting_destructor'	1	28	0	1	
00415e83	?OnPreDeviceReset@CMainGameComponent@@UAEXXZ	1	1	0	1	
00415e85	GFLogMemoryUse	1	311	0	1	
00415fbc	GFGetPreMainMemoryUsed	1	5	1	1	
00415fc1	_Cons_val<std::allocator<std::pair<EHeroMorphType,CParticleMorphs::CEntry>_>,std::pair<EHeroMorphType,CParticleMorphs::CEntry>,std::pair<enum_EHeroMorphType,class_CParticleMorphs::CEntry>_const&>	1	18	0	1	
00415fd3	FUN_00415fd3	0	13	0	1	
