# revert map: restores default names if needed
00b4abb0	FUN_00b4abb0
00b6d0b0	FUN_00b6d0b0
00b98350	FUN_00b98350
00bce4b0	FUN_00bce4b0
00c0b570	FUN_00c0b570
00c0b7b0	FUN_00c0b7b0
00c12cd0	FUN_00c12cd0
00c18a80	FUN_00c18a80
00c18ad0	FUN_00c18ad0
00c1ae50	FUN_00c1ae50
00c1b200	FUN_00c1b200
00c1b250	FUN_00c1b250
00c26390	FUN_00c26390
00c2d790	FUN_00c2d790
00c35dd0	FUN_00c35dd0
00c402e0	FUN_00c402e0
00c436c0	FUN_00c436c0
00c559c0	FUN_00c559c0
00c5cf00	FUN_00c5cf00
00c60450	FUN_00c60450
00c76460	FUN_00c76460
00c89d70	FUN_00c89d70
00c8a540	FUN_00c8a540
00c8ce80	FUN_00c8ce80
00c8def0	FUN_00c8def0
00c94ee0	FUN_00c94ee0
00c96320	FUN_00c96320
00ca26a0	FUN_00ca26a0
00cacc80	FUN_00cacc80
00caccb0	FUN_00caccb0
00caf750	FUN_00caf750
00cb1340	FUN_00cb1340
00cb1460	FUN_00cb1460
00cb9d30	FUN_00cb9d30
00cb9da0	FUN_00cb9da0
00cbb860	FUN_00cbb860
00cbd0f0	FUN_00cbd0f0
00d18c00	FUN_00d18c00
00d27050	FUN_00d27050
00d38400	FUN_00d38400
00d7fc70	FUN_00d7fc70
00f3b640	FUN_00f3b640
00f3b760	FUN_00f3b760
00411b00	FUN_00411b00
004126e0	FUN_004126e0
00429b02	FUN_00429b02
0042ab33	FUN_0042ab33
0042cb90	FUN_0042cb90
0042d45d	FUN_0042d45d
00431363	FUN_00431363
00441020	FUN_00441020
004428b0	FUN_004428b0
0045c79e	FUN_0045c79e
0045c811	FUN_0045c811
00461533	FUN_00461533
00461c63	FUN_00461c63
00461cf3	FUN_00461cf3
004661c5	FUN_004661c5
00466255	FUN_00466255
00471f97	FUN_00471f97
00479449	FUN_00479449
0047a9f0	FUN_0047a9f0
00485b6c	FUN_00485b6c
0048c820	FUN_0048c820
0049c450	FUN_0049c450
004ac530	FUN_004ac530
004b8770	FUN_004b8770
004b9c10	FUN_004b9c10
004e4429	FUN_004e4429
004e4bee	FUN_004e4bee
004e4e3a	FUN_004e4e3a
004ec441	FUN_004ec441
004f9508	FUN_004f9508
004f97b3	FUN_004f97b3
004f9960	FUN_004f9960
005114f0	FUN_005114f0
00513300	FUN_00513300
00516f80	FUN_00516f80
0051ac70	FUN_0051ac70
0051c590	FUN_0051c590
00527d80	FUN_00527d80
005290e0	FUN_005290e0
0052b8b0	FUN_0052b8b0
0052bbe0	FUN_0052bbe0
0052bff0	FUN_0052bff0
0052dec0	FUN_0052dec0
0053cfc2	FUN_0053cfc2
00567120	FUN_00567120
00569330	FUN_00569330
00579a1c	FUN_00579a1c
005ba9be	FUN_005ba9be
005baec4	FUN_005baec4
005bd33c	FUN_005bd33c
005eda50	FUN_005eda50
005f6423	FUN_005f6423
005f8444	FUN_005f8444
005fa3a5	FUN_005fa3a5
005fc510	FUN_005fc510
00618550	FUN_00618550
00659c32	FUN_00659c32
00660684	FUN_00660684
006699c0	FUN_006699c0
00669cb0	FUN_00669cb0
0066bdf0	FUN_0066bdf0
006753b0	FUN_006753b0
006755a0	FUN_006755a0
006755e0	FUN_006755e0
00681cd0	FUN_00681cd0
006a3f20	FUN_006a3f20
006bc290	FUN_006bc290
006c2120	FUN_006c2120
006c31b0	FUN_006c31b0
006c5800	FUN_006c5800
006cb010	FUN_006cb010
006e5990	FUN_006e5990
006f2a40	FUN_006f2a40
00708830	FUN_00708830
0070c770	FUN_0070c770
0071a160	FUN_0071a160
00721060	FUN_00721060
00724e30	FUN_00724e30
00728830	FUN_00728830
0072c430	FUN_0072c430
00738d10	FUN_00738d10
0074c9b0	FUN_0074c9b0
0074f900	FUN_0074f900
0074fb20	FUN_0074fb20
0074fce0	FUN_0074fce0
0074fe50	FUN_0074fe50
00754e70	FUN_00754e70
00756250	FUN_00756250
007653b0	FUN_007653b0
0076e4d0	FUN_0076e4d0
0076fc60	FUN_0076fc60
00770f20	FUN_00770f20
00777170	FUN_00777170
00777db0	FUN_00777db0
007ad060	FUN_007ad060
007e5f70	FUN_007e5f70
007e9250	FUN_007e9250
007e99f0	FUN_007e99f0
007e9ae0	FUN_007e9ae0
007fdf60	FUN_007fdf60
008014f0	FUN_008014f0
00808520	FUN_00808520
008085c0	FUN_008085c0
008092d0	FUN_008092d0
00818000	FUN_00818000
0081e030	FUN_0081e030
0081e090	FUN_0081e090
008274b0	FUN_008274b0
0083ee10	FUN_0083ee10
0083f420	FUN_0083f420
0083fc00	FUN_0083fc00
0083ff80	FUN_0083ff80
00861950	FUN_00861950
008701d0	FUN_008701d0
00878db0	FUN_00878db0
0087c660	FUN_0087c660
00884490	FUN_00884490
008ae420	FUN_008ae420
008c7e50	FUN_008c7e50
008f99a0	FUN_008f99a0
00913d60	FUN_00913d60
00916ce0	FUN_00916ce0
0098cf70	FUN_0098cf70
0098d360	FUN_0098d360
0098e7d0	FUN_0098e7d0
00993310	FUN_00993310
009939b0	FUN_009939b0
0099c670	FUN_0099c670
0099c7e0	FUN_0099c7e0
009a0300	FUN_009a0300
009b4030	FUN_009b4030
009b61f0	FUN_009b61f0
009bede0	FUN_009bede0
009c0190	FUN_009c0190
009c02d0	FUN_009c02d0
009cbe90	FUN_009cbe90
009d7f40	FUN_009d7f40
009f66a0	FUN_009f66a0
009f7830	FUN_009f7830
009fc210	FUN_009fc210
00a00ed0	FUN_00a00ed0
00a0c3e0	FUN_00a0c3e0
00a15140	FUN_00a15140
00a22010	FUN_00a22010
00a2b970	FUN_00a2b970
00a32620	FUN_00a32620
00a3ed30	FUN_00a3ed30
00a41e20	FUN_00a41e20
00a4a520	FUN_00a4a520
00a54cb0	FUN_00a54cb0
00a5d7c0	FUN_00a5d7c0
00a71550	FUN_00a71550
00a74ca0	FUN_00a74ca0
00a7f880	FUN_00a7f880
00a80ee0	FUN_00a80ee0
00a83d70	FUN_00a83d70
00a84160	FUN_00a84160
00a84940	FUN_00a84940
00a88b10	FUN_00a88b10
00a96100	FUN_00a96100
00ac7200	FUN_00ac7200
00ad3230	FUN_00ad3230
00ad3500	FUN_00ad3500
00ad3ef0	FUN_00ad3ef0
00ad43a0	FUN_00ad43a0
00ad48f0	FUN_00ad48f0
00ad64c0	FUN_00ad64c0
00adc250	FUN_00adc250
00ae6690	FUN_00ae6690
00ae7fa0	FUN_00ae7fa0
00ae83d0	FUN_00ae83d0
00af5770	FUN_00af5770
00af6920	FUN_00af6920
00afe5c0	FUN_00afe5c0
00b85ec0	FUN_00b85ec0
00bd9ce0	FUN_00bd9ce0
00be04f0	FUN_00be04f0
00be4f90	FUN_00be4f90
00be5950	FUN_00be5950
00be8ff0	FUN_00be8ff0
00bf94d0	FUN_00bf94d0
00c0b510	FUN_00c0b510
