address	current_name	reason	category
0076acf0	TreeHeader_InitSentinel_0x20_0076acf0	ambiguous-or-no-donor-match	allocator-wrapper
0076f9e0	ListHead_InitCircular_0x24_0076f9e0	ambiguous-or-no-donor-match	allocator-wrapper
0076fbf0	ListHead_InitCircular_0x24_0076fbf0	ambiguous-or-no-donor-match	allocator-wrapper
00771b30	ObjHolder_FreeAndDelete_00771b30	ambiguous-or-no-donor-match	initializer-destructor
00776f30	ObjHolder_AllocStore_0x30_00776f30	ambiguous-or-no-donor-match	initializer-destructor
00777520	TreeHeader_InitSentinel_0x30_00777520	ambiguous-or-no-donor-match	allocator-wrapper
00777a00	TreeHeader_InitSentinel_0x30_00777a00	ambiguous-or-no-donor-match	allocator-wrapper
0077ffe0	ListHead_InitCircular_0x14_0077ffe0	ambiguous-or-no-donor-match	allocator-wrapper
00780040	ListHead_InitCircular_0x14_00780040	ambiguous-or-no-donor-match	allocator-wrapper
00782fb0	ObjHolder_AllocStore_0x20_00782fb0	ambiguous-or-no-donor-match	initializer-destructor
00783d50	TreeHeader_InitSentinel_0x20_00783d50	ambiguous-or-no-donor-match	allocator-wrapper
00783fb0	TreeHeader_InitSentinel_0x20_00783fb0	ambiguous-or-no-donor-match	allocator-wrapper
00784fb0	ListHead_InitCircular_0xc_00784fb0	ambiguous-or-no-donor-match	allocator-wrapper
00785d00	ListHead_InitCircular_0xc_00785d00	ambiguous-or-no-donor-match	allocator-wrapper
00792220	ListHead_InitCircular_0xc_00792220	ambiguous-or-no-donor-match	allocator-wrapper
007922a0	ObjHolder_AllocStore_0x2c_007922a0	ambiguous-or-no-donor-match	initializer-destructor
007926f0	TreeHeader_InitSentinel_0x2c_007926f0	ambiguous-or-no-donor-match	allocator-wrapper
00792b30	TreeHeader_InitSentinel_0x2c_00792b30	ambiguous-or-no-donor-match	allocator-wrapper
007977e0	ObjHolder_AllocStore_0x2c_007977e0	ambiguous-or-no-donor-match	initializer-destructor
00797ae0	TreeHeader_InitSentinel_0x2c_00797ae0	ambiguous-or-no-donor-match	allocator-wrapper
00797e30	TreeHeader_InitSentinel_0x2c_00797e30	ambiguous-or-no-donor-match	allocator-wrapper
0079f0b0	ObjHolder_AllocStore_0x14_0079f0b0	ambiguous-or-no-donor-match	initializer-destructor
0079f2a0	TreeHeader_InitSentinel_0x14_0079f2a0	ambiguous-or-no-donor-match	allocator-wrapper
0079f410	TreeHeader_InitSentinel_0x14_0079f410	ambiguous-or-no-donor-match	allocator-wrapper
007a35b0	ListHead_InitCircular_0x10_007a35b0	ambiguous-or-no-donor-match	allocator-wrapper
007a3c60	ListHead_InitCircular_0x10_007a3c60	ambiguous-or-no-donor-match	allocator-wrapper
007a6170	ListHead_InitCircular_0xc_007a6170	ambiguous-or-no-donor-match	allocator-wrapper
